link,sex
https://www.tfrrs.org/athletes/2748810/Emporia_St/Tony_Granillo.html,m
https://www.tfrrs.org/athletes/2759522/Fort_Hays_St/Alec_Wold.html,m
https://www.tfrrs.org/athletes/2411760/Emporia_St/Cole_Davis.html,m
https://www.tfrrs.org/athletes/2750239/Jacksonville/Charlene_Charles.html,w
https://www.tfrrs.org/athletes/1754939/Fort_Hays_St/Carissa_Heim.html,w
https://www.tfrrs.org/athletes/2748517/Kansas_State/Cenarda_Jackson.html,w
https://www.tfrrs.org/athletes/2411846/Emporia_St/Justine_Davenport.html,w
https://www.tfrrs.org/athletes/2279090/Toronto/Jessica_Caterini.html,w
https://www.tfrrs.org/athletes/1005820/Toronto/Tory_Merrill.html,w
https://www.tfrrs.org/athletes/2741813/Cornell/Erin_McKee.html,w
https://www.tfrrs.org/athletes/2758449/Cortland_St/Nicole_Schafer.html,w
https://www.tfrrs.org/athletes/1745124/Binghamton/Rosie_DeFino.html,w
https://www.tfrrs.org/athletes/2758451/Cortland_St/Michelle_Thomas.html,w
https://www.tfrrs.org/athletes/2243772/Cornell/Karen_Schillinger.html,w
https://www.tfrrs.org/athletes/2230013/Binghamton/Alice_O'Dell.html,w
https://www.tfrrs.org/athletes/2230003/Binghamton/Jess_Conter.html,w
https://www.tfrrs.org/athletes/2252178/Cortland_St/Brenna_Filipello.html,w
https://www.tfrrs.org/athletes/2235613/Cornell/Nick_Huber.html,m
https://www.tfrrs.org/athletes/1714772/Cornell/Alex__Holcombe.html,m
https://www.tfrrs.org/athletes/2308499/Cornell/Chris_Ryan.html,m
https://www.tfrrs.org/athletes/2742585/Cornell/Cariello_David.html,m
https://www.tfrrs.org/athletes/2235606/Cornell/Josh_Cusick.html,m
https://www.tfrrs.org/athletes/2759470/Montana/Lindsey_Hall.html,w
https://www.tfrrs.org/athletes/2231023/Eastern_Washington/Christy_Borders.html,w
https://www.tfrrs.org/athletes/2220105/Montana/Melissa_Mauro.html,w
https://www.tfrrs.org/athletes/2747994/Eastern_Washington/Liz_Cobb.html,w
https://www.tfrrs.org/athletes/2748000/Eastern_Washington/Elise_Jepsen.html,w
https://www.tfrrs.org/athletes/2759464/Montana/Kourtney_Danreuther.html,w
https://www.tfrrs.org/athletes/2748767/Eastern_Washington/Tim_Armstrong.html,m
https://www.tfrrs.org/athletes/1234224/Montana/Chris_Hicks.html,m
https://www.tfrrs.org/athletes/1234214/Montana/Michael_Blanchard.html,m
https://www.tfrrs.org/athletes/1723042/Eastern_Washington/Kersee_Lind.html,m
https://www.tfrrs.org/athletes/1726795/Montana/Evan_Stokken.html,m
https://www.tfrrs.org/athletes/775694/Sarana_Hyatt.html,w
https://www.tfrrs.org/athletes/2835590/Rhode_Island/Caroline_Warren.html,w
https://www.tfrrs.org/athletes/2745799/Rhode_Island/Kelly_McCabe.html,w
https://www.tfrrs.org/athletes/1214587/Sacred_Heart/Bonnie_Kilis.html,w
https://www.tfrrs.org/athletes/1204980/New_Hampshire/Kelly_Thomas.html,w
https://www.tfrrs.org/athletes/1699899/Holy_Cross/Ashley_Buckley.html,w
https://www.tfrrs.org/athletes/1692444/New_Hampshire/Kaitlyn_Dugan.html,w
https://www.tfrrs.org/athletes/2244079/Rhode_Island/Marissa_Norman.html,w
https://www.tfrrs.org/athletes/1725654/Rhode_Island/Stephanie_Reusch.html,w
https://www.tfrrs.org/athletes/2762214/Sacred_Heart/Molly_Hurkett.html,w
https://www.tfrrs.org/athletes/2756652/Hartford/Natalie_Bonham.html,w
https://www.tfrrs.org/athletes/2745800/Rhode_Island/Shannon_Meehan.html,w
https://www.tfrrs.org/athletes/2213641/Hartford/Nicolle_Adams.html,w
https://www.tfrrs.org/athletes/1687049/Shippensburg/Rebekah_Newhart.html,w
https://www.tfrrs.org/athletes/1201130/Bucknell/Jenn_Pierce.html,w
https://www.tfrrs.org/athletes/2210305/Shippensburg/Kate_Slonaker.html,w
https://www.tfrrs.org/athletes/2717578/Bucknell/Leah__Bettner.html,w
https://www.tfrrs.org/athletes/1254339/Lock_Haven/Larissa_Gunn.html,w
https://www.tfrrs.org/athletes/1701638/Millersville/Jess_Rhyner.html,w
https://www.tfrrs.org/athletes/1693687/Bucknell/Kristin_Bretscher.html,w
https://www.tfrrs.org/athletes/2210307/Shippensburg/Jessica_Yates.html,w
https://www.tfrrs.org/athletes/2752685/Lock_Haven/Justine_Stoltzfus.html,w
https://www.tfrrs.org/athletes/2258901/Shippensburg/Sara__Wagner.html,w
https://www.tfrrs.org/athletes/1199874/Shippensburg/Don_Graybill.html,m
https://www.tfrrs.org/athletes/2752691/Lock_Haven/Chris_Ammann.html,m
https://www.tfrrs.org/athletes/1687064/Shippensburg/Andrew_Campolongo.html,m
https://www.tfrrs.org/athletes/1201112/Bucknell/Ryan_White.html,m
https://www.tfrrs.org/athletes/2223821/Millersville/Jack_Scanlin.html,m
https://www.tfrrs.org/athletes/2717564/Bucknell/Jason__Brown.html,m
https://www.tfrrs.org/athletes/2223815/Millersville/Zac_Kohler.html,m
https://www.tfrrs.org/athletes/1201111/Bucknell/Thomas_Vogler.html,m
https://www.tfrrs.org/athletes/1692042/Lock_Haven/Phillip_LaBelle.html,m
https://www.tfrrs.org/athletes/1751213/Central_Michigan/Josh_Kettlewell.html,m
https://www.tfrrs.org/athletes/2751946/Saginaw_Valley/Tyler_Grob.html,m
https://www.tfrrs.org/athletes/1748274/Saginaw_Valley/Aaron_Wilkins.html,m
https://www.tfrrs.org/athletes/1748271/Saginaw_Valley/Trevor_Opalewski.html,m
https://www.tfrrs.org/athletes/1247058/Central_Michigan/Erika_Schroll.html,w
https://www.tfrrs.org/athletes/2751979/Saginaw_Valley/Elizabeth_Wilford.html,w
https://www.tfrrs.org/athletes/2751966/Saginaw_Valley/Chelsea_Henderson.html,w
https://www.tfrrs.org/athletes/1996040/Saginaw_Valley/Kelly_Henris.html,w
https://www.tfrrs.org/athletes/2218920/Northwest_Nazarene/Beth_McLam.html,w
https://www.tfrrs.org/athletes/2210196/Northwest_Nazarene/Jill_Bennett.html,w
https://www.tfrrs.org/athletes/1732807/Concordia_OR/Dominique_Jacoy.html,w
https://www.tfrrs.org/athletes/1233294/Northwest_Nazarene/Laura_Vonarx.html,w
https://www.tfrrs.org/athletes/2464265/Portland_State/Alexis__kitzman.html,w
https://www.tfrrs.org/athletes/2741654/Portland_State/Hanna_Johnson.html,w
https://www.tfrrs.org/athletes/2756970/Boise_State/Kurt_Felix.html,m
https://www.tfrrs.org/athletes/2275657/Northwest_Nazarene/Ben_Heidegger.html,m
https://www.tfrrs.org/athletes/1237579/Portland_State/Nick_Trubachik.html,m
https://www.tfrrs.org/athletes/1689631/Northwest_Nazarene/Stuart_Montgomery.html,m
https://www.tfrrs.org/athletes/2214630/Portland_State/Travis_Sauvain.html,m
https://www.tfrrs.org/athletes/2218594/Boise_State/Steve_Anderson.html,m
https://www.tfrrs.org/athletes/2741650/Portland_State/Andrew__Vanhorn.html,m
