link,sex
https://www.tfrrs.org/athletes/3349900/Idaho_State/Becca_Aplington.html,m
https://www.tfrrs.org/athletes/3257185/Northwest_Nazarene/Marie_Smith.html,m
https://www.tfrrs.org/athletes/2210196/Northwest_Nazarene/Jill_Bennett.html,m
https://www.tfrrs.org/athletes/3283312/Idaho_State/McKinzie_Anderson.html,m
https://www.tfrrs.org/athletes/3718078/MSU_Billings/Lacy_Wilkins.html,m
https://www.tfrrs.org/athletes/3305902/Idaho_State/Carine_Fontenord.html,m
https://www.tfrrs.org/athletes/2748836/Idaho_State/Justin_Critser.html,m
https://www.tfrrs.org/athletes/3876463/Idaho_State/Trevor_White.html,m
https://www.tfrrs.org/athletes/3305918/Idaho_State/William_Phillips.html,m
https://www.tfrrs.org/athletes/3761148/Idaho_State/Jacob_Zarpentine.html,m
https://www.tfrrs.org/athletes/3305919/Idaho_State/Derek_Puckett.html,m
https://www.tfrrs.org/athletes/3257172/Northwest_Nazarene/Greyson__Kilgore.html,m
https://www.tfrrs.org/athletes/2798979/Idaho_State/Garret_Wood.html,m
https://www.tfrrs.org/athletes/3755855/MSU_Billings/Rory_Bauer.html,m
https://www.tfrrs.org/athletes/3305912/Idaho_State/Jason_Davis.html,m
https://www.tfrrs.org/athletes/3761099/Idaho_State/Jacob_Dudley.html,m
https://www.tfrrs.org/athletes/1689625/Northwest_Nazarene/Tim__Greene.html,m
https://www.tfrrs.org/athletes/3761101/Idaho_State/Stephen_Heinig.html,m
https://www.tfrrs.org/athletes/2906180/Northwest_Nazarene/Mark_Wade.html,m
https://www.tfrrs.org/athletes/3176192/Spokane_CC/Shayle_Dezellem.html,m
https://www.tfrrs.org/athletes/3300742/Spokane_CC/Jessika_Hardgrove.html,m
https://www.tfrrs.org/athletes/3745785/Spokane_CC/Makenzie_Smith.html,m
https://www.tfrrs.org/athletes/3745784/Spokane_CC/Ashley__Sharp.html,m
https://www.tfrrs.org/athletes/3721879/Lewis_Clark/Justin_Keller.html,m
https://www.tfrrs.org/athletes/3785599/Spencer_Wordell.html,m
https://www.tfrrs.org/athletes/3721882/Lewis_Clark/Kale_Schmidt.html,m
https://www.tfrrs.org/athletes/3745759/Spokane_CC/Jon__Williams.html,m
https://www.tfrrs.org/athletes/2751890/So_Conn_St/Justin_Escaravage.html,m
https://www.tfrrs.org/athletes/3927450/Connecticut/Samuel_Smith.html,m
https://www.tfrrs.org/athletes/3755637/Connecticut/Jake__Waruch.html,m
https://www.tfrrs.org/athletes/1688875/So_Conn_St/Jason_Polakowski.html,m
https://www.tfrrs.org/athletes/3709639/So_Conn_St/Connor_Coleman.html,m
https://www.tfrrs.org/athletes/2710276/Rhode_Island/Trent_Baltzell.html,m
